timestamp,market_slug,outcome,best_bid,best_ask,mid,spread
1767715393.816652,btc-updown-15m-1767715200,UP,0.61,0.6,0.605,-0.010000000000000009
1767715395.177655,btc-updown-15m-1767715200,UP,0.65,0.64,0.645,-0.010000000000000009
1767715395.178577,btc-updown-15m-1767715200,DOWN,0.36,0.35,0.355,-0.010000000000000009
1767715396.5142558,btc-updown-15m-1767715200,DOWN,0.35,0.34,0.345,-0.009999999999999953
1767715396.514285,btc-updown-15m-1767715200,UP,0.66,0.65,0.655,-0.010000000000000009
1767715397.86004,btc-updown-15m-1767715200,UP,0.69,0.68,0.685,-0.009999999999999898
1767715397.8602471,btc-updown-15m-1767715200,DOWN,0.32,0.31,0.315,-0.010000000000000009
1767715399.21154,btc-updown-15m-1767715200,UP,0.68,0.67,0.675,-0.010000000000000009
1767715399.2117062,btc-updown-15m-1767715200,DOWN,0.33,0.32,0.325,-0.010000000000000009
1767715400.544972,btc-updown-15m-1767715200,DOWN,0.34,0.33,0.335,-0.010000000000000009
1767715400.545072,btc-updown-15m-1767715200,UP,0.67,0.66,0.665,-0.010000000000000009
1767715401.875183,btc-updown-15m-1767715200,UP,0.67,0.66,0.665,-0.010000000000000009
1767715401.875971,btc-updown-15m-1767715200,DOWN,0.34,0.33,0.335,-0.010000000000000009
1767715403.239954,btc-updown-15m-1767715200,DOWN,0.34,0.33,0.335,-0.010000000000000009
1767715403.240098,btc-updown-15m-1767715200,UP,0.67,0.66,0.665,-0.010000000000000009
1767715404.592997,btc-updown-15m-1767715200,UP,0.7,0.69,0.695,-0.010000000000000009
1767715404.593111,btc-updown-15m-1767715200,DOWN,0.31,0.3,0.305,-0.010000000000000009
1767715405.940546,btc-updown-15m-1767715200,UP,0.67,0.66,0.665,-0.010000000000000009
1767715405.940649,btc-updown-15m-1767715200,DOWN,0.34,0.33,0.335,-0.010000000000000009
